"";"UF";"ETAPA";"REDE";"COR";"total_pd";"se.pd"
"118";"Minas Gerais";"Pré-escola";"Rede pública";"Branca";70533,8831776;8260,17211749446
"119";"Minas Gerais";"Pré-escola";"Rede pública";"Negra";155703,73797316;12303,8952291728
"120";"Minas Gerais";"Pré-escola";"Rede pública";"Outros";0;0
"121";"Espírito Santo";"Pré-escola";"Rede privada";"Branca";4875,35390515;1233,99529330906
"122";"Espírito Santo";"Pré-escola";"Rede privada";"Negra";2866,87685774;846,939075392561
"123";"Espírito Santo";"Pré-escola";"Rede privada";"Outros";0;0
"124";"Espírito Santo";"Pré-escola";"Rede pública";"Branca";19764,58508231;2635,09015347626
"125";"Espírito Santo";"Pré-escola";"Rede pública";"Negra";40226,34015512;4461,90561826135
"126";"Espírito Santo";"Pré-escola";"Rede pública";"Outros";295,1982729;305,591466822164
"127";"Rio de Janeiro";"Pré-escola";"Rede privada";"Branca";40142,58096893;5434,96638640349
"128";"Rio de Janeiro";"Pré-escola";"Rede privada";"Negra";29643,55318546;4649,5431154433
"129";"Rio de Janeiro";"Pré-escola";"Rede privada";"Outros";0;0
"130";"Rio de Janeiro";"Pré-escola";"Rede pública";"Branca";52951,62492911;6651,18803320805
"131";"Rio de Janeiro";"Pré-escola";"Rede pública";"Negra";82151,29331056;8391,070485778
"132";"Rio de Janeiro";"Pré-escola";"Rede pública";"Outros";0;0
"133";"São Paulo";"Pré-escola";"Rede privada";"Branca";110679,25678887;15120,3424708182
"134";"São Paulo";"Pré-escola";"Rede privada";"Negra";16736,19616147;5418,59077792902
"135";"São Paulo";"Pré-escola";"Rede privada";"Outros";5407,70303402;2928,15231091095
"136";"São Paulo";"Pré-escola";"Rede pública";"Branca";253339,487497;23383,263830551
"137";"São Paulo";"Pré-escola";"Rede pública";"Negra";238948,73481726;21622,5233083531
"138";"São Paulo";"Pré-escola";"Rede pública";"Outros";849,48907609;841,052731937275
"139";"Paraná";"Pré-escola";"Rede privada";"Branca";16677,7516573;3033,08994723357
"140";"Paraná";"Pré-escola";"Rede privada";"Negra";3646,84042235;1691,92406758076
"141";"Paraná";"Pré-escola";"Rede privada";"Outros";0;0
"142";"Paraná";"Pré-escola";"Rede pública";"Branca";70366,68023885;7088,0198741207
"143";"Paraná";"Pré-escola";"Rede pública";"Negra";44965,49695285;5698,14496616595
"144";"Paraná";"Pré-escola";"Rede pública";"Outros";797,73818373;818,869419768082
"145";"Santa Catarina";"Pré-escola";"Rede privada";"Branca";18151,61569416;2919,73229712131
"146";"Santa Catarina";"Pré-escola";"Rede privada";"Negra";1027,63082127;640,440665467468
"147";"Santa Catarina";"Pré-escola";"Rede privada";"Outros";0;0
"148";"Santa Catarina";"Pré-escola";"Rede pública";"Branca";76322,8366653;4475,55271271957
"149";"Santa Catarina";"Pré-escola";"Rede pública";"Negra";21882,4341349;2757,3528698428
"150";"Santa Catarina";"Pré-escola";"Rede pública";"Outros";1219,70617412;689,640879163243
"151";"Rio Grande do Sul";"Pré-escola";"Rede privada";"Branca";22926,73044417;3741,99385956458
"152";"Rio Grande do Sul";"Pré-escola";"Rede privada";"Negra";7263,0174196;3131,92232803065
"153";"Rio Grande do Sul";"Pré-escola";"Rede privada";"Outros";0;0
"154";"Rio Grande do Sul";"Pré-escola";"Rede pública";"Branca";92321,89940542;8058,59621175768
"155";"Rio Grande do Sul";"Pré-escola";"Rede pública";"Negra";38842,09916778;6159,63140770572
"156";"Rio Grande do Sul";"Pré-escola";"Rede pública";"Outros";0;0
"157";"Mato Grosso do Sul";"Pré-escola";"Rede privada";"Branca";4350,12705443;1593,37269192396
"158";"Mato Grosso do Sul";"Pré-escola";"Rede privada";"Negra";1911,12266512;744,938678950638
"159";"Mato Grosso do Sul";"Pré-escola";"Rede privada";"Outros";0;0
"160";"Mato Grosso do Sul";"Pré-escola";"Rede pública";"Branca";13831,37057721;2345,69889375155
"161";"Mato Grosso do Sul";"Pré-escola";"Rede pública";"Negra";18290,72681319;2566,31447666872
"162";"Mato Grosso do Sul";"Pré-escola";"Rede pública";"Outros";204,20865939;197,139884285532
"163";"Mato Grosso";"Pré-escola";"Rede privada";"Branca";5872,8497204;2528,46756639374
"164";"Mato Grosso";"Pré-escola";"Rede privada";"Negra";1868,10177838;812,571522672796
"165";"Mato Grosso";"Pré-escola";"Rede privada";"Outros";0;0
"166";"Mato Grosso";"Pré-escola";"Rede pública";"Branca";17222,82602382;2385,74863426267
"167";"Mato Grosso";"Pré-escola";"Rede pública";"Negra";50627,1630984;5854,11909703986
"168";"Mato Grosso";"Pré-escola";"Rede pública";"Outros";0;0
"169";"Goiás";"Pré-escola";"Rede privada";"Branca";12422,69620876;2911,942029093
"170";"Goiás";"Pré-escola";"Rede privada";"Negra";13157,22659077;2858,89182111925
"171";"Goiás";"Pré-escola";"Rede privada";"Outros";0;0
"172";"Goiás";"Pré-escola";"Rede pública";"Branca";27285,1261808;4311,4784718021
"173";"Goiás";"Pré-escola";"Rede pública";"Negra";43857,86695672;5599,12217699927
"174";"Goiás";"Pré-escola";"Rede pública";"Outros";0;0
"175";"Distrito Federal";"Pré-escola";"Rede privada";"Branca";8948,82484415;2115,76496264995
"176";"Distrito Federal";"Pré-escola";"Rede privada";"Negra";4839,12564751;1491,63369127583
"177";"Distrito Federal";"Pré-escola";"Rede privada";"Outros";0;0
"178";"Distrito Federal";"Pré-escola";"Rede pública";"Branca";9060,60601043;2008,997880878
"179";"Distrito Federal";"Pré-escola";"Rede pública";"Negra";16694,35071595;2823,42979780154
"180";"Distrito Federal";"Pré-escola";"Rede pública";"Outros";392,74380345;377,845226465269
"181";"Rondônia";"Regular do ensino fundamental";"Rede privada";"Branca";5137,26987027;1308,09352995372
"182";"Rondônia";"Regular do ensino fundamental";"Rede privada";"Negra";10677,47904275;1831,42150284464
"183";"Rondônia";"Regular do ensino fundamental";"Rede privada";"Outros";239,67039532;249,642813461448
"184";"Rondônia";"Regular do ensino fundamental";"Rede pública";"Branca";63865,3314328;5265,75806949608
"185";"Rondônia";"Regular do ensino fundamental";"Rede pública";"Negra";187224,78021832;8160,05644782465
"186";"Rondônia";"Regular do ensino fundamental";"Rede pública";"Outros";1363,45946799;635,07032588486
"187";"Acre";"Regular do ensino fundamental";"Rede privada";"Branca";2761,80569456;564,168867967253
"188";"Acre";"Regular do ensino fundamental";"Rede privada";"Negra";3805,77570739;775,893421604821
"189";"Acre";"Regular do ensino fundamental";"Rede privada";"Outros";0;0
"190";"Acre";"Regular do ensino fundamental";"Rede pública";"Branca";22466,78452707;1739,64359924396
"191";"Acre";"Regular do ensino fundamental";"Rede pública";"Negra";118398,07697106;4766,29978762664
"192";"Acre";"Regular do ensino fundamental";"Rede pública";"Outros";1603,5480337;472,098717789309
"193";"Amazonas";"Regular do ensino fundamental";"Rede privada";"Branca";17237,62620777;2844,08384457759
"194";"Amazonas";"Regular do ensino fundamental";"Rede privada";"Negra";36699,37416669;4818,12480143209
"195";"Amazonas";"Regular do ensino fundamental";"Rede privada";"Outros";0;0
"196";"Amazonas";"Regular do ensino fundamental";"Rede pública";"Branca";75958,58897266;8304,53856881803
"197";"Amazonas";"Regular do ensino fundamental";"Rede pública";"Negra";574230,80487865;20212,7232054238
"198";"Amazonas";"Regular do ensino fundamental";"Rede pública";"Outros";18536,26291635;5031,4905451593
"199";"Roraima";"Regular do ensino fundamental";"Rede privada";"Branca";3019,59189146;644,28688691731
"200";"Roraima";"Regular do ensino fundamental";"Rede privada";"Negra";3659,14260649;868,481272411617
"201";"Roraima";"Regular do ensino fundamental";"Rede privada";"Outros";0;0
"202";"Roraima";"Regular do ensino fundamental";"Rede pública";"Branca";12072,37070447;1318,65491653339
"203";"Roraima";"Regular do ensino fundamental";"Rede pública";"Negra";64423,36467172;3250,18482004782
"204";"Roraima";"Regular do ensino fundamental";"Rede pública";"Outros";9640,8404645;2331,12375753118
"205";"Pará";"Regular do ensino fundamental";"Rede privada";"Branca";42026,03128621;7309,73113593117
"206";"Pará";"Regular do ensino fundamental";"Rede privada";"Negra";98445,53867309;9557,52215707702
"207";"Pará";"Regular do ensino fundamental";"Rede privada";"Outros";1579,52147464;1294,83673762152
"208";"Pará";"Regular do ensino fundamental";"Rede pública";"Branca";215172,208437;14513,2464892059
"209";"Pará";"Regular do ensino fundamental";"Rede pública";"Negra";1047708,04635526;32456,0681370433
"210";"Pará";"Regular do ensino fundamental";"Rede pública";"Outros";13402,05686232;3551,34002070203
"211";"Amapá";"Regular do ensino fundamental";"Rede privada";"Branca";3001,0384581;1014,84492230039
"212";"Amapá";"Regular do ensino fundamental";"Rede privada";"Negra";5921,75583901;1484,47442155015
"213";"Amapá";"Regular do ensino fundamental";"Rede privada";"Outros";0;0
"214";"Amapá";"Regular do ensino fundamental";"Rede pública";"Branca";22781,14546916;2788,74330262461
"215";"Amapá";"Regular do ensino fundamental";"Rede pública";"Negra";118575,55029887;7638,43805407207
"216";"Amapá";"Regular do ensino fundamental";"Rede pública";"Outros";414,63715189;273,912591890409
"217";"Tocantins";"Regular do ensino fundamental";"Rede privada";"Branca";6107,84215873;1501,659193092
"218";"Tocantins";"Regular do ensino fundamental";"Rede privada";"Negra";13851,83496049;2313,0792958171
"219";"Tocantins";"Regular do ensino fundamental";"Rede privada";"Outros";413,25159657;407,523483502415
"220";"Tocantins";"Regular do ensino fundamental";"Rede pública";"Branca";37881,0289086;4011,03565622871
"221";"Tocantins";"Regular do ensino fundamental";"Rede pública";"Negra";191432,87913124;11297,3338614239
"222";"Tocantins";"Regular do ensino fundamental";"Rede pública";"Outros";3170,40568815;1118,19510205632
"223";"Maranhão";"Regular do ensino fundamental";"Rede privada";"Branca";34735,73803043;4338,07542083287
"224";"Maranhão";"Regular do ensino fundamental";"Rede privada";"Negra";70687,15577688;6039,29744519201
"225";"Maranhão";"Regular do ensino fundamental";"Rede privada";"Outros";787,78163787;472,969595397731
"226";"Maranhão";"Regular do ensino fundamental";"Rede pública";"Branca";170443,50149549;9123,06499217234
"227";"Maranhão";"Regular do ensino fundamental";"Rede pública";"Negra";986430,68211343;23031,8797903527
"228";"Maranhão";"Regular do ensino fundamental";"Rede pública";"Outros";11546,02207394;2283,02912675411
"229";"Piauí";"Regular do ensino fundamental";"Rede privada";"Branca";17091,30799896;3500,33394537228
"230";"Piauí";"Regular do ensino fundamental";"Rede privada";"Negra";43240,5656602;4961,61777788036
"231";"Piauí";"Regular do ensino fundamental";"Rede privada";"Outros";0;0
"232";"Piauí";"Regular do ensino fundamental";"Rede pública";"Branca";73063,25506462;8398,28709849011
"233";"Piauí";"Regular do ensino fundamental";"Rede pública";"Negra";340698,95292027;16087,5829410987
"234";"Piauí";"Regular do ensino fundamental";"Rede pública";"Outros";889,54138187;420,251467698915
"235";"Ceará";"Regular do ensino fundamental";"Rede privada";"Branca";99188,52369846;9285,85104575639
"236";"Ceará";"Regular do ensino fundamental";"Rede privada";"Negra";150790,84971544;11615,2635636779
"237";"Ceará";"Regular do ensino fundamental";"Rede privada";"Outros";870,81868335;656,780943249106
"238";"Ceará";"Regular do ensino fundamental";"Rede pública";"Branca";216679,46186424;10791,2353718637
"239";"Ceará";"Regular do ensino fundamental";"Rede pública";"Negra";767730,34671069;24858,7287095128
"240";"Ceará";"Regular do ensino fundamental";"Rede pública";"Outros";8021,9487174;2692,72445059546
"241";"Rio Grande do Norte";"Regular do ensino fundamental";"Rede privada";"Branca";74099,44562117;12068,873860928
"242";"Rio Grande do Norte";"Regular do ensino fundamental";"Rede privada";"Negra";49768,18424555;5675,92036239472
"243";"Rio Grande do Norte";"Regular do ensino fundamental";"Rede privada";"Outros";0;0
"244";"Rio Grande do Norte";"Regular do ensino fundamental";"Rede pública";"Branca";142663,21425379;7550,46993877577
"245";"Rio Grande do Norte";"Regular do ensino fundamental";"Rede pública";"Negra";257851,92429413;14876,6395251984
"246";"Rio Grande do Norte";"Regular do ensino fundamental";"Rede pública";"Outros";654,35333593;396,177667661298
"247";"Paraíba";"Regular do ensino fundamental";"Rede privada";"Branca";60373,47973958;7108,29271170134
"248";"Paraíba";"Regular do ensino fundamental";"Rede privada";"Negra";71454,65276312;7718,76944726799
"249";"Paraíba";"Regular do ensino fundamental";"Rede privada";"Outros";337,77630013;348,210200771823
"250";"Paraíba";"Regular do ensino fundamental";"Rede pública";"Branca";130487,25079154;9453,89704879767
"251";"Paraíba";"Regular do ensino fundamental";"Rede pública";"Negra";320963,31403866;15958,1287073641
"252";"Paraíba";"Regular do ensino fundamental";"Rede pública";"Outros";165,71235398;151,911670944865
"253";"Pernambuco";"Regular do ensino fundamental";"Rede privada";"Branca";138536,43195071;12533,8482727659
"254";"Pernambuco";"Regular do ensino fundamental";"Rede privada";"Negra";175280,04068506;13491,458944987
"255";"Pernambuco";"Regular do ensino fundamental";"Rede privada";"Outros";6420,54905295;3127,17618571027
"256";"Pernambuco";"Regular do ensino fundamental";"Rede pública";"Branca";253149,77472759;18469,9380861959
"257";"Pernambuco";"Regular do ensino fundamental";"Rede pública";"Negra";746240,52329075;31564,8644543972
"258";"Pernambuco";"Regular do ensino fundamental";"Rede pública";"Outros";13271,47511467;7791,98415246012
"259";"Alagoas";"Regular do ensino fundamental";"Rede privada";"Branca";26837,45127141;3396,51790002183
"260";"Alagoas";"Regular do ensino fundamental";"Rede privada";"Negra";55991,28627591;4652,64684368118
"261";"Alagoas";"Regular do ensino fundamental";"Rede privada";"Outros";332,56434335;233,29616057449
"262";"Alagoas";"Regular do ensino fundamental";"Rede pública";"Branca";107025,70466386;5972,88638591084
"263";"Alagoas";"Regular do ensino fundamental";"Rede pública";"Negra";350660,28529039;12052,3494551723
"264";"Alagoas";"Regular do ensino fundamental";"Rede pública";"Outros";3625,44385081;1459,06172917447
"265";"Sergipe";"Regular do ensino fundamental";"Rede privada";"Branca";19473,75029829;3448,31488460455
"266";"Sergipe";"Regular do ensino fundamental";"Rede privada";"Negra";57994,0404359;5060,2352270713
"267";"Sergipe";"Regular do ensino fundamental";"Rede privada";"Outros";501,72803788;479,237288392561
"268";"Sergipe";"Regular do ensino fundamental";"Rede pública";"Branca";49785,3293592;4348,95930881352
"269";"Sergipe";"Regular do ensino fundamental";"Rede pública";"Negra";241154,50022301;10628,7527469037
"270";"Sergipe";"Regular do ensino fundamental";"Rede pública";"Outros";1556,19722261;622,968133017315
"271";"Bahia";"Regular do ensino fundamental";"Rede privada";"Branca";87672,06464887;11304,8460080763
"272";"Bahia";"Regular do ensino fundamental";"Rede privada";"Negra";338987,07430836;24152,5557840079
"273";"Bahia";"Regular do ensino fundamental";"Rede privada";"Outros";5673,85369147;2283,99092805441
"274";"Bahia";"Regular do ensino fundamental";"Rede pública";"Branca";284572,14305291;18476,1017708602
"275";"Bahia";"Regular do ensino fundamental";"Rede pública";"Negra";1508193,14420007;49061,5956825683
"276";"Bahia";"Regular do ensino fundamental";"Rede pública";"Outros";23990,22183552;7809,28317351464
"277";"Minas Gerais";"Regular do ensino fundamental";"Rede privada";"Branca";178477,60801523;16392,3794222915
"278";"Minas Gerais";"Regular do ensino fundamental";"Rede privada";"Negra";124004,37454695;13135,8789976313
"279";"Minas Gerais";"Regular do ensino fundamental";"Rede privada";"Outros";1063,08541968;1149,41642287907
"280";"Minas Gerais";"Regular do ensino fundamental";"Rede pública";"Branca";716611,59479193;31639,6215257868
"281";"Minas Gerais";"Regular do ensino fundamental";"Rede pública";"Negra";1601754,4419172;45409,3155149474
"282";"Minas Gerais";"Regular do ensino fundamental";"Rede pública";"Outros";2673,64304081;1491,36511924502
"283";"Espírito Santo";"Regular do ensino fundamental";"Rede privada";"Branca";39394,63310822;4176,75139652021
"284";"Espírito Santo";"Regular do ensino fundamental";"Rede privada";"Negra";28571,3931445;3645,83365142201
"285";"Espírito Santo";"Regular do ensino fundamental";"Rede privada";"Outros";206,23080672;208,095594101595
"286";"Espírito Santo";"Regular do ensino fundamental";"Rede pública";"Branca";137171,46102326;7131,37773971232
"287";"Espírito Santo";"Regular do ensino fundamental";"Rede pública";"Negra";325084,34164091;12444,7282359569
"288";"Espírito Santo";"Regular do ensino fundamental";"Rede pública";"Outros";1961,78036091;808,907172166951
"289";"Rio de Janeiro";"Regular do ensino fundamental";"Rede privada";"Branca";361717,54728676;20914,575450625
"290";"Rio de Janeiro";"Regular do ensino fundamental";"Rede privada";"Negra";286395,04497794;16868,6399002215
"291";"Rio de Janeiro";"Regular do ensino fundamental";"Rede privada";"Outros";3087,14399851;1620,58149609108
"292";"Rio de Janeiro";"Regular do ensino fundamental";"Rede pública";"Branca";396654,46142591;19053,268544881
"293";"Rio de Janeiro";"Regular do ensino fundamental";"Rede pública";"Negra";912838,40012368;32968,0514948799
"294";"Rio de Janeiro";"Regular do ensino fundamental";"Rede pública";"Outros";3449,89104543;1114,10575556775
"295";"São Paulo";"Regular do ensino fundamental";"Rede privada";"Branca";961846,12238319;66778,2475076229
"296";"São Paulo";"Regular do ensino fundamental";"Rede privada";"Negra";196830,78069702;21445,5062417541
"297";"São Paulo";"Regular do ensino fundamental";"Rede privada";"Outros";15297,05435825;3959,6789744076
"298";"São Paulo";"Regular do ensino fundamental";"Rede pública";"Branca";2040299,96408071;79306,9406949176
"299";"São Paulo";"Regular do ensino fundamental";"Rede pública";"Negra";2164277,20734639;94171,4821314074
"300";"São Paulo";"Regular do ensino fundamental";"Rede pública";"Outros";33070,95071961;8091,7255607689
"301";"Paraná";"Regular do ensino fundamental";"Rede privada";"Branca";176611,605573;15618,8320041613
"302";"Paraná";"Regular do ensino fundamental";"Rede privada";"Negra";37931,33731011;5765,42318540909
"303";"Paraná";"Regular do ensino fundamental";"Rede privada";"Outros";5436,45088651;2206,29458147586
